Month,Total,Day,Night,Flux
Jan,744,238.7888819826196,505.2111180173804,136402.7176385167
Feb,672,267.4503139301427,404.5496860698573,196234.4723155439
Mar,744,365.6177067296393,378.3822932703607,269823.5524517707
Apr,720,424.0422743346893,295.9577256653107,52670.51399810594
May,744,503.61114467295613,240.38885532704387,231941.63209776886
Jun,720,523.4837293709772,196.51627062902276,73707.03759953282
Jul,744,524.8917233778245,219.10827662217548,287997.1978605397
Aug,744,467.39166898582283,276.60833101417717,96315.02184251709
Sep,720,384.5526152380814,335.4473847619186,40800.02290049838
Oct,744,325.4831779540398,418.5168220459602,150567.1377364326
Nov,720,250.82142903002887,469.17857096997113,140039.44463656243
Dec,744,220.79045233583773,523.2095476641623,147901.39049072727
